,KABKOT,month,geometry,longitude,latitude,year,pm2p5,time
32,JAKARTA SELATAN,9,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,1.83428991918553e-07,2020-08-31 14:24:00
33,JAKARTA SELATAN,10,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,1.8066353602871055e-07,2020-09-30 14:24:00
34,JAKARTA SELATAN,11,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,1.5834168629639623e-07,2020-10-31 14:24:00
35,JAKARTA SELATAN,12,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,1.3040267187467714e-07,2020-11-30 14:24:00
36,JAKARTA TIMUR,1,"MULTIPOINT ((106.89999999999996 -6.350000000000002), (106.89999999999996 -6.3000000000000025), (106.89999999999996 -6.250000000000003), (106.89999999999996 -6.200000000000003), (106.94999999999996 -6.200000000000003))",106.90999999999997,-6.2600000000000025,2020.0,1.230767983261489e-07,2020-01-01 09:36:00
37,JAKARTA TIMUR,2,"MULTIPOINT ((106.89999999999996 -6.350000000000002), (106.89999999999996 -6.3000000000000025), (106.89999999999996 -6.250000000000003), (106.89999999999996 -6.200000000000003), (106.94999999999996 -6.200000000000003))",106.90999999999997,-6.2600000000000025,2020.0,1.2961505651105686e-07,2020-02-01 09:36:00
38,JAKARTA TIMUR,3,"MULTIPOINT ((106.89999999999996 -6.350000000000002), (106.89999999999996 -6.3000000000000025), (106.89999999999996 -6.250000000000003), (106.89999999999996 -6.200000000000003), (106.94999999999996 -6.200000000000003))",106.90999999999997,-6.2600000000000025,2020.0,1.4864131180598568e-07,2020-02-29 14:24:00
39,JAKARTA TIMUR,4,"MULTIPOINT ((106.89999999999996 -6.350000000000002), (106.89999999999996 -6.3000000000000025), (106.89999999999996 -6.250000000000003), (106.89999999999996 -6.200000000000003), (106.94999999999996 -6.200000000000003))",106.90999999999997,-6.2600000000000025,2020.0,1.762772481235701e-07,2020-03-31 14:24:00
40,JAKARTA TIMUR,5,"MULTIPOINT ((106.89999999999996 -6.350000000000002), (106.89999999999996 -6.3000000000000025), (106.89999999999996 -6.250000000000003), (106.89999999999996 -6.200000000000003), (106.94999999999996 -6.200000000000003))",106.90999999999997,-6.2600000000000025,2020.0,1.9160203760009433e-07,2020-04-30 14:24:00
41,JAKARTA TIMUR,6,"MULTIPOINT ((106.89999999999996 -6.350000000000002), (106.89999999999996 -6.3000000000000025), (106.89999999999996 -6.250000000000003), (106.89999999999996 -6.200000000000003), (106.94999999999996 -6.200000000000003))",106.90999999999997,-6.2600000000000025,2020.0,1.9509583468675697e-07,2020-05-31 14:24:00
42,JAKARTA TIMUR,7,"MULTIPOINT ((106.89999999999996 -6.350000000000002), (106.89999999999996 -6.3000000000000025), (106.89999999999996 -6.250000000000003), (106.89999999999996 -6.200000000000003), (106.94999999999996 -6.200000000000003))",106.90999999999997,-6.2600000000000025,2020.0,1.9033037949754248e-07,2020-06-30 14:24:00
