,KABKOT,month,year,longitude,latitude,tp,time
196,JAKARTA TIMUR,4,2019,106.90999999999997,-6.2600000000000025,10.988985352217677,2019-04-01
201,JAKARTA TIMUR,5,2019,106.90999999999997,-6.2600000000000025,2.9556597471236925,2019-05-01
206,JAKARTA TIMUR,6,2019,106.90999999999997,-6.2600000000000025,0.9486215487122942,2019-06-01
211,JAKARTA TIMUR,7,2019,106.90999999999997,-6.2600000000000025,0.7247739955783159,2019-07-01
216,JAKARTA TIMUR,8,2019,106.90999999999997,-6.2600000000000025,0.667664632201277,2019-08-01
221,JAKARTA TIMUR,9,2019,106.90999999999997,-6.2600000000000025,0.3685611411929441,2019-09-01
226,JAKARTA TIMUR,10,2019,106.90999999999997,-6.2600000000000025,1.6963020339607624,2019-10-01
231,JAKARTA TIMUR,11,2019,106.90999999999997,-6.2600000000000025,4.030535303055929,2019-11-01
236,JAKARTA TIMUR,12,2019,106.90999999999997,-6.2600000000000025,11.552197501063372,2019-12-01
241,JAKARTA UTARA,1,2019,106.89166666666664,-6.1250000000000036,8.115672332545055,2019-01-01
246,JAKARTA UTARA,2,2019,106.89166666666664,-6.1250000000000036,9.045880275467923,2019-02-01
251,JAKARTA UTARA,3,2019,106.89166666666664,-6.1250000000000036,9.55303218836564,2019-03-01
256,JAKARTA UTARA,4,2019,106.89166666666664,-6.1250000000000036,9.531922706712933,2019-04-01
261,JAKARTA UTARA,5,2019,106.89166666666664,-6.1250000000000036,2.6672851853072648,2019-05-01
266,JAKARTA UTARA,6,2019,106.89166666666664,-6.1250000000000036,0.8370020737250954,2019-06-01
271,JAKARTA UTARA,7,2019,106.89166666666664,-6.1250000000000036,0.6669229269027959,2019-07-01
276,JAKARTA UTARA,8,2019,106.89166666666664,-6.1250000000000036,0.5215521218876537,2019-08-01
281,JAKARTA UTARA,9,2019,106.89166666666664,-6.1250000000000036,0.2875386985639909,2019-09-01
286,JAKARTA UTARA,10,2019,106.89166666666664,-6.1250000000000036,1.1505047231912249,2019-10-01
291,JAKARTA UTARA,11,2019,106.89166666666664,-6.1250000000000036,3.2147798128424316,2019-11-01
296,JAKARTA UTARA,12,2019,106.89166666666664,-6.1250000000000036,10.058319568634076,2019-12-01
2,JAKARTA BARAT,1,2020,106.74999999999996,-6.158333333333336,14.475729682792847,2020-01-01
7,JAKARTA BARAT,2,2020,106.74999999999996,-6.158333333333336,13.69126349687543,2020-02-01
12,JAKARTA BARAT,3,2020,106.74999999999996,-6.158333333333336,11.113327058653192,2020-03-01
17,JAKARTA BARAT,4,2020,106.74999999999996,-6.158333333333336,7.677212382356436,2020-04-01
22,JAKARTA BARAT,5,2020,106.74999999999996,-6.158333333333336,5.889278029402071,2020-05-01
27,JAKARTA BARAT,6,2020,106.74999999999996,-6.158333333333336,2.050814616183473,2020-06-01
32,JAKARTA BARAT,7,2020,106.74999999999996,-6.158333333333336,1.6562249821921782,2020-07-01
37,JAKARTA BARAT,8,2020,106.74999999999996,-6.158333333333336,1.584933598836356,2020-08-01
42,JAKARTA BARAT,9,2020,106.74999999999996,-6.158333333333336,1.9451159176727912,2020-09-01
47,JAKARTA BARAT,10,2020,106.74999999999996,-6.158333333333336,6.048352299258242,2020-10-01
52,JAKARTA BARAT,11,2020,106.74999999999996,-6.158333333333336,4.9232592123249255,2020-11-01
57,JAKARTA BARAT,12,2020,106.74999999999996,-6.158333333333336,9.082674675931527,2020-12-01
62,JAKARTA PUSAT,1,2020,106.84999999999997,-6.200000000000003,15.40950819849924,2020-01-01
67,JAKARTA PUSAT,2,2020,106.84999999999997,-6.200000000000003,14.579104036092373,2020-02-01
72,JAKARTA PUSAT,3,2020,106.84999999999997,-6.200000000000003,10.993788577616272,2020-03-01
77,JAKARTA PUSAT,4,2020,106.84999999999997,-6.200000000000003,7.813130728900386,2020-04-01
82,JAKARTA PUSAT,5,2020,106.84999999999997,-6.200000000000003,6.05992265045625,2020-05-01
87,JAKARTA PUSAT,6,2020,106.84999999999997,-6.200000000000003,1.9301420450210716,2020-06-01
92,JAKARTA PUSAT,7,2020,106.84999999999997,-6.200000000000003,1.5308443456888596,2020-07-01
97,JAKARTA PUSAT,8,2020,106.84999999999997,-6.200000000000003,1.520049981773,2020-08-01
102,JAKARTA PUSAT,9,2020,106.84999999999997,-6.200000000000003,1.9501545652747367,2020-09-01
107,JAKARTA PUSAT,10,2020,106.84999999999997,-6.200000000000003,6.510780863463895,2020-10-01
112,JAKARTA PUSAT,11,2020,106.84999999999997,-6.200000000000003,5.744253322481779,2020-11-01
117,JAKARTA PUSAT,12,2020,106.84999999999997,-6.200000000000003,9.32534016668792,2020-12-01
122,JAKARTA SELATAN,1,2020,106.8083333333333,-6.283333333333336,15.172972343861574,2020-01-01
127,JAKARTA SELATAN,2,2020,106.8083333333333,-6.283333333333336,14.389887824654169,2020-02-01
132,JAKARTA SELATAN,3,2020,106.8083333333333,-6.283333333333336,11.565384734422002,2020-03-01
137,JAKARTA SELATAN,4,2020,106.8083333333333,-6.283333333333336,8.274471449355275,2020-04-01
142,JAKARTA SELATAN,5,2020,106.8083333333333,-6.283333333333336,6.054043273130912,2020-05-01
147,JAKARTA SELATAN,6,2020,106.8083333333333,-6.283333333333336,1.9616842269897805,2020-06-01
152,JAKARTA SELATAN,7,2020,106.8083333333333,-6.283333333333336,1.604005942742081,2020-07-01
157,JAKARTA SELATAN,8,2020,106.8083333333333,-6.283333333333336,1.89568813269349,2020-08-01
162,JAKARTA SELATAN,9,2020,106.8083333333333,-6.283333333333336,2.393921837210712,2020-09-01
167,JAKARTA SELATAN,10,2020,106.8083333333333,-6.283333333333336,7.755372393876375,2020-10-01
172,JAKARTA SELATAN,11,2020,106.8083333333333,-6.283333333333336,5.994430401672602,2020-11-01
177,JAKARTA SELATAN,12,2020,106.8083333333333,-6.283333333333336,9.690254895637423,2020-12-01
182,JAKARTA TIMUR,1,2020,106.90999999999997,-6.2600000000000025,16.167215347289517,2020-01-01
187,JAKARTA TIMUR,2,2020,106.90999999999997,-6.2600000000000025,15.22689788043454,2020-02-01
192,JAKARTA TIMUR,3,2020,106.90999999999997,-6.2600000000000025,11.459258146584062,2020-03-01
197,JAKARTA TIMUR,4,2020,106.90999999999997,-6.2600000000000025,8.325105130672398,2020-04-01
202,JAKARTA TIMUR,5,2020,106.90999999999997,-6.2600000000000025,6.470775246619982,2020-05-01
