,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,pm10,so2
67,JAKARTA BARAT,8,2019,106.74999999999996,-6.158333333333336,55.06880032868376,2019-08-01,70.11067097981751,27.697650960286484,0.6964313238859628,1425,77.81334017822589,4.974568324164607
68,JAKARTA BARAT,9,2019,106.74999999999996,-6.158333333333336,54.26724310463203,2019-09-01,69.30343729654918,28.08570007324224,0.3372970720132411,2718,76.96426098805881,4.8154999645563645
69,JAKARTA BARAT,10,2019,106.74999999999996,-6.158333333333336,61.49222516516056,2019-10-01,69.09746704101518,28.822052408854223,1.1383194103837275,2379,86.46326167433601,4.737228415925486
70,JAKARTA BARAT,11,2019,106.74999999999996,-6.158333333333336,54.83955468029294,2019-11-01,74.38977661132743,28.60351399739589,2.78810678049917,1561,77.44081590506777,4.492191250426451
71,JAKARTA BARAT,12,2019,106.74999999999996,-6.158333333333336,49.72530590446246,2019-12-01,82.37423299153653,27.599281005859392,10.483941963563485,2928,70.6112611976231,4.329101478365293
72,JAKARTA PUSAT,1,2019,106.84999999999997,-6.200000000000003,41.412656509957415,2019-01-01,83.8856933593749,27.20369628906252,8.050773367285606,2869,59.13678287801831,3.935620988366359
73,JAKARTA PUSAT,2,2019,106.84999999999997,-6.200000000000003,47.51715420544216,2019-02-01,84.73095703125013,27.33481933593748,9.499291814863458,3271,67.46158383919085,4.020976686977385
74,JAKARTA PUSAT,3,2019,106.84999999999997,-6.200000000000003,47.47317819446078,2019-03-01,83.94481201171885,27.263217773437475,9.537777341901952,5530,67.4417725695283,4.947599691020398
75,JAKARTA PUSAT,4,2019,106.84999999999997,-6.200000000000003,57.30045086712282,2019-04-01,84.12138671874999,27.778266601562507,9.9525062739845,4112,80.83897599912461,5.669126361739052
76,JAKARTA PUSAT,5,2019,106.84999999999997,-6.200000000000003,63.12791850149425,2019-05-01,80.8370483398437,28.074031982421843,2.7367127686738733,2830,89.73860614010839,6.383137781283469
77,JAKARTA PUSAT,6,2019,106.84999999999997,-6.200000000000003,66.01288190448085,2019-06-01,74.90488281249952,28.100249023437527,0.8788255974650695,1830,93.85806173156838,6.344377197467219
78,JAKARTA PUSAT,7,2019,106.84999999999997,-6.200000000000003,55.68971037206542,2019-07-01,71.41096191406206,27.633392333984432,0.7050214707851631,1830,79.32296360498636,5.737462679837435
79,JAKARTA PUSAT,8,2019,106.84999999999997,-6.200000000000003,55.32339212521807,2019-08-01,69.97391357421861,27.5916638183594,0.6351368129254044,2536,78.16248542032753,5.001629184995146
80,JAKARTA PUSAT,9,2019,106.84999999999997,-6.200000000000003,54.68069891397517,2019-09-01,69.07149658203109,27.98755737304691,0.2866576984524916,3048,77.53709441023788,4.858685641863512
