,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,so2
137,JAKARTA PUSAT,6,2020,106.84999999999997,-6.200000000000003,60.173134267909326,2020-06-01,80.90009765624986,27.762005615234383,1.930142045021072,5291,119.42390271559358
138,JAKARTA PUSAT,7,2020,106.84999999999997,-6.200000000000003,61.47864108167415,2020-07-01,77.46544799804667,27.456694335937527,1.5308443456888596,4588,125.37349110211252
139,JAKARTA PUSAT,8,2020,106.84999999999997,-6.200000000000003,58.03431146015833,2020-08-01,74.91954956054657,27.846728515625045,1.520049981773,4410,110.11139054441604
140,JAKARTA PUSAT,9,2020,106.84999999999997,-6.200000000000003,55.11527509346194,2020-09-01,74.42985229492166,28.06586914062501,1.9501545652747367,3158,104.71764834700284
141,JAKARTA PUSAT,10,2020,106.84999999999997,-6.200000000000003,57.814672646354666,2020-10-01,78.27996215820264,27.760706787109427,6.510780863463895,3774,102.5518313325
142,JAKARTA PUSAT,11,2020,106.84999999999997,-6.200000000000003,50.52768560887037,2020-11-01,81.41886596679682,27.62507202148436,5.744253322481779,4382,96.03610532836542
143,JAKARTA PUSAT,12,2020,106.84999999999997,-6.200000000000003,31.601573763732056,2020-12-01,83.00504150390623,26.883378906250016,9.32534016668792,3940,70.0270445317249
144,JAKARTA SELATAN,1,2020,106.8083333333333,-6.283333333333336,42.21472247076552,2020-01-01,86.42279052734371,26.82615865071615,15.172972343861574,32716,83.32883055629675
145,JAKARTA SELATAN,2,2020,106.8083333333333,-6.283333333333336,41.41027711845884,2020-02-01,86.90752665201813,26.659938557942723,14.389887824654169,33735,76.26642316130055
146,JAKARTA SELATAN,3,2020,106.8083333333333,-6.283333333333336,50.405126906917324,2020-03-01,84.84382120768231,27.14338887532552,11.565384734422002,36113,101.1248040484599
147,JAKARTA SELATAN,4,2020,106.8083333333333,-6.283333333333336,55.20834781928383,2020-04-01,84.89725748697914,27.4026611328125,8.274471449355275,15007,118.3143939001132
148,JAKARTA SELATAN,5,2020,106.8083333333333,-6.283333333333336,60.42035108776352,2020-05-01,83.9520111083984,27.614613850911457,6.054043273130912,8326,132.53259573664664
149,JAKARTA SELATAN,6,2020,106.8083333333333,-6.283333333333336,63.97635788049397,2020-06-01,81.2392832438153,27.44994099934894,1.9616842269897805,10438,128.82121321903784
150,JAKARTA SELATAN,7,2020,106.8083333333333,-6.283333333333336,65.29303786528912,2020-07-01,77.35538228352867,27.1728535970052,1.604005942742081,11058,134.93089633402346
151,JAKARTA SELATAN,8,2020,106.8083333333333,-6.283333333333336,61.74752201894222,2020-08-01,74.60863749186193,27.57937215169272,1.89568813269349,9279,118.82724426002198
152,JAKARTA SELATAN,9,2020,106.8083333333333,-6.283333333333336,57.52768183548539,2020-09-01,74.41561381022136,27.742294311523427,2.393921837210712,9638,111.08139417905012
153,JAKARTA SELATAN,10,2020,106.8083333333333,-6.283333333333336,59.642838601270746,2020-10-01,78.83002217610654,27.4197224934896,7.755372393876375,7908,108.09977926603902
154,JAKARTA SELATAN,11,2020,106.8083333333333,-6.283333333333336,52.706075518808575,2020-11-01,81.73450215657539,27.30904032389324,5.994430401672602,11271,101.98471722707428
155,JAKARTA SELATAN,12,2020,106.8083333333333,-6.283333333333336,31.99500141770568,2020-12-01,83.18682861328124,26.591934204101545,9.690254895637423,12667,73.23296545061125
156,JAKARTA TIMUR,1,2020,106.90999999999995,-6.2600000000000025,41.579220385538505,2020-01-01,86.3512670898437,26.873399169921868,16.167215347289517,45918,80.18682892968192
157,JAKARTA TIMUR,2,2020,106.90999999999995,-6.2600000000000025,40.46950348997808,2020-02-01,86.96668945312496,26.69511010742189,15.22689788043454,48845,72.80666437509461
158,JAKARTA TIMUR,3,2020,106.90999999999995,-6.2600000000000025,49.372238720479984,2020-03-01,84.92820556640606,27.19462768554688,11.459258146584062,44751,96.86559501107804
159,JAKARTA TIMUR,4,2020,106.90999999999995,-6.2600000000000025,53.6181433640578,2020-04-01,84.87039428710939,27.465695068359366,8.325105130672398,12036,112.63181257147129
160,JAKARTA TIMUR,5,2020,106.90999999999995,-6.2600000000000025,58.010812755546056,2020-05-01,83.91896606445306,27.674377929687505,6.470775246619982,30669,125.71966407197496
161,JAKARTA TIMUR,6,2020,106.90999999999995,-6.2600000000000025,61.02731507221988,2020-06-01,81.07438842773433,27.525955566406253,1.942249692976499,9744,121.7551821173663
162,JAKARTA TIMUR,7,2020,106.90999999999995,-6.2600000000000025,61.92024187849306,2020-07-01,77.72401489257796,27.1894987792969,1.522086508572148,9235,127.2788448428158
163,JAKARTA TIMUR,8,2020,106.90999999999995,-6.2600000000000025,58.31424852923929,2020-08-01,75.23275512695284,27.56499658203128,1.6052805930377274,8043,111.15915538222325
164,JAKARTA TIMUR,9,2020,106.90999999999995,-6.2600000000000025,55.02037371515058,2020-09-01,74.96572143554675,27.76689013671876,2.2886404916644443,8591,105.05230805536374
165,JAKARTA TIMUR,10,2020,106.90999999999995,-6.2600000000000025,57.64825044322519,2020-10-01,79.2566174316404,27.44275952148439,7.478732630610494,7718,102.71222844233404
166,JAKARTA TIMUR,11,2020,106.90999999999995,-6.2600000000000025,51.17854631286934,2020-11-01,81.8781970214842,27.35953686523437,6.641908235847561,11678,97.4062949321342
167,JAKARTA TIMUR,12,2020,106.90999999999995,-6.2600000000000025,32.664590521905744,2020-12-01,83.2204028320313,26.660910888671857,9.701917909085711,12874,72.39164158073413
168,JAKARTA UTARA,1,2020,106.89166666666664,-6.125000000000004,38.32307863740598,2020-01-01,85.75088806152355,27.22875345865884,15.410698428749733,20709,71.38696336578234
